Time,Sequence Number,Event
142.7952,190000,transmit
143.7952,190000,send
143.7952,190000,transmit
143.816,198000,ack
143.816,199000,send
143.816,200000,send
143.816,201000,send
143.816,202000,send
143.816,203000,send
143.816,204000,send
143.816,205000,send
143.816,206000,send
143.816,207000,send
143.816,208000,send
143.816,200000,transmit
143.8168,204000,transmit
143.8176,208000,transmit
144.816,199000,send
144.816,199000,transmit
144.8368,200000,ack
144.8368,201000,send
144.8368,202000,send
144.8368,203000,send
144.8368,204000,send
144.8368,205000,send
144.8368,206000,send
144.8368,207000,send
144.8368,208000,send
144.8368,209000,send
144.8368,210000,send
144.8368,201000,transmit
144.8376,202000,transmit
144.8384,203000,transmit
144.8392,205000,transmit
144.84,206000,transmit
144.8408,207000,transmit
144.8416,208000,transmit
144.8424,209000,transmit
144.8432,210000,transmit
144.8576,201000,ack
144.8576,211000,send
144.8576,211000,transmit
144.8584,202000,ack
144.8584,212000,send
144.8592,204000,ack
144.8592,213000,send
144.8592,214000,send
144.8592,213000,transmit
144.86,214000,transmit
144.8616,208000,ack
144.8616,215000,send
144.8616,216000,send
144.8616,217000,send
144.8616,218000,send
144.8616,215000,transmit
144.8624,208000,ack
144.8624,216000,transmit
144.8632,209000,ack
144.8632,219000,send
144.8632,218000,transmit
144.864,210000,ack
144.864,220000,send
144.864,219000,transmit
144.8648,220000,transmit
144.88,211000,ack
144.88,221000,send
144.8808,211000,ack
144.8832,211000,ack
144.8856,211000,ack
145.8856,212000,send
145.8856,212000,transmit
146.8856,212000,send
147.8856,212000,send
148.8856,212000,send
148.8856,212000,transmit
149.8856,212000,send
149.8856,212000,transmit
150.8856,212000,send
150.8856,212000,transmit
150.9064,216000,ack
150.9064,217000,send
150.9064,218000,send
150.9064,219000,send
150.9064,220000,send
150.9064,221000,send
150.9064,222000,send
150.9064,223000,send
150.9064,224000,send
150.9064,225000,send
150.9064,226000,send
150.9064,218000,transmit
150.9072,219000,transmit
150.908,220000,transmit
150.9088,221000,transmit
150.9096,224000,transmit
150.9272,216000,ack
151.9272,217000,send
152.9272,217000,send
153.9272,217000,send
154.9272,217000,send
155.9272,217000,send
156.9272,217000,send
156.9272,217000,transmit
157.9272,217000,send
157.9272,217000,transmit
158.9272,217000,send
159.9272,217000,send
160.9272,217000,send
161.9272,217000,send
161.9272,217000,transmit
162.9272,217000,send
163.9272,217000,send
163.9272,217000,transmit
164.9272,217000,send
164.9272,217000,transmit
165.9272,217000,send
166.9272,217000,send
166.9272,217000,transmit
167.9272,217000,send
168.9272,217000,send
169.9272,217000,send
170.9272,217000,send
170.9272,217000,transmit
170.948,221000,ack
170.948,222000,send
170.948,223000,send
170.948,224000,send
170.948,225000,send
170.948,226000,send
170.948,227000,send
170.948,228000,send
170.948,229000,send
170.948,230000,send
170.948,231000,send
170.948,222000,transmit
170.9488,227000,transmit
170.9496,228000,transmit
170.9504,229000,transmit
170.9512,231000,transmit
170.9696,222000,ack
170.9696,232000,send
170.9696,232000,transmit
170.9712,222000,ack
171.9712,223000,send
172.9712,223000,send
172.9712,223000,transmit
172.992,224000,ack
172.992,225000,send
172.992,226000,send
172.992,227000,send
172.992,228000,send
172.992,229000,send
172.992,230000,send
172.992,231000,send
172.992,232000,send
172.992,233000,send
172.992,234000,send
172.992,225000,transmit
172.9928,228000,transmit
172.9936,233000,transmit
172.9944,234000,transmit
173.0136,225000,ack
173.0136,235000,send
173.0152,225000,ack
174.0152,226000,send
175.0152,226000,send
175.0152,226000,transmit
175.036,229000,ack
175.036,230000,send
175.036,231000,send
175.036,232000,send
175.036,233000,send
175.036,234000,send
175.036,235000,send
175.036,236000,send
175.036,237000,send
175.036,238000,send
175.036,239000,send
175.036,230000,transmit
175.0368,233000,transmit
175.0376,234000,transmit
175.0384,236000,transmit
175.0392,238000,transmit
175.0576,234000,ack
175.0576,240000,send
175.0576,241000,send
175.0576,242000,send
175.0576,243000,send
175.0576,244000,send
175.0576,240000,transmit
175.0584,234000,ack
175.0584,241000,transmit
175.0592,242000,transmit
175.06,234000,ack
175.06,243000,transmit
175.0608,244000,transmit
175.0792,234000,ack
175.08,234000,ack
175.0808,234000,ack
176.0808,235000,send
177.0808,235000,send
177.0808,235000,transmit
178.0808,235000,send
178.0808,235000,transmit
179.0808,235000,send
180.0808,235000,send
181.0808,235000,send
182.0808,235000,send
182.0808,235000,transmit
182.1016,236000,ack
182.1016,237000,send
182.1016,238000,send
182.1016,239000,send
182.1016,240000,send
182.1016,241000,send
182.1016,242000,send
182.1016,243000,send
182.1016,244000,send
182.1016,245000,send
182.1016,246000,send
182.1016,237000,transmit
182.1024,238000,transmit
182.1032,241000,transmit
182.104,243000,transmit
182.1048,244000,transmit
182.1056,245000,transmit
182.1224,238000,ack
182.1224,247000,send
182.1224,248000,send
182.1224,247000,transmit
182.124,238000,ack
182.1256,238000,ack
182.1264,238000,ack
182.1432,238000,ack
183.1432,239000,send
184.1432,239000,send
184.1432,239000,transmit
185.1432,239000,send
186.1432,239000,send
186.1432,239000,transmit
187.1432,239000,send
187.1432,239000,transmit
187.164,245000,ack
187.164,246000,send
187.164,247000,send
187.164,248000,send
187.164,249000,send
187.164,250000,send
187.164,251000,send
187.164,252000,send
187.164,253000,send
187.164,254000,send
187.164,255000,send
187.164,247000,transmit
187.1648,248000,transmit
187.1656,249000,transmit
187.1664,250000,transmit
187.1672,251000,transmit
187.168,252000,transmit
187.1688,253000,transmit
187.1696,254000,transmit
187.1864,245000,ack
187.1872,245000,ack
187.1888,245000,ack
187.1904,245000,ack
188.1904,246000,send
189.1904,246000,send
189.1904,246000,transmit
189.2112,254000,ack
189.2112,255000,send
189.2112,256000,send
189.2112,257000,send
189.2112,258000,send
189.2112,259000,send
189.2112,260000,send
189.2112,261000,send
189.2112,262000,send
189.2112,263000,send
189.2112,264000,send
189.2112,258000,transmit
189.212,260000,transmit
189.2128,261000,transmit
189.2136,262000,transmit
